dyu,fr
A ka gwɛlɛ,C’est difficile.
A be kumana telefoni na,Il parle dans le téléphone.
Cɛ toyi! Yɛrɛ don bali lo,Audace n'est pas déraison
A fɔ mɔgɔ duuru nun nu ɲana,Dis-leur à tous les cinq.
Aa kungolo saaba,Vos trois têtes.
Fo n be se a yɔrɔla,il faut que j'y arrive.
A lajabi ni yɛrɛ faga ye,Il répond malaisément.
Kongo sogo nɛrɛmuguma dɔ filɛ,Un autre animal jaune.
Zipu suguya bɛ,Une jupe quelconque.
Nne ye parantɛsu datugu.,Je clos la parenthèse.
ɛsk n ka sumanikɛfɛn di ma wa?,Je vous ai donné la balance ?
Boon tan ni wolofila,Dix-sept maisons.
Londres be n ka sii yɔrɔ ye,J'habite à Londres.
A sigila layɔrɔ da kuna,Il s’assit près du lit.
N be boli ka n teriw hakili sigi,Je cours rassurer nos amis.
A bi nana wa?,Est-ce qu’il viendra ?
A sara Milana.,Il est mort à Milan.
A be famu,C’est compréhensible.
Aw ka kan ka jati minɛ,Il faut en tenir compte.
A be tan le lonbɛ yan,C’est toujours comme ça ici ?
Aw ka lɔn joli le be nin ye wa?,Vous savez combien il coûte ?
N ti mɔgɔ si kɔnɔ na.,Je n’attends personne.
Nin te tulonkɛ fen ye,Ce n’est pas d’un jeu.
Ka n'a bugɔ,Ne le frappez pas.
N bi na aw ye kɔfɛ.,Je vous verrai plus tard.
N ma la a la.,Je n’en suis pas sûre
Sigilan karila,La chaise est cassée.
Ni an tun ye pidiza kɔmande do,Et si on commandait une pizza?
I ka lon cogo mina o bi gwakɛ?,Vous savez comment cuisiner ?
I baleman muso fɛ,J’aimerais ta sœur.
Saan tun finna.,Le ciel était sombre.
Aw be baara juman le la.,Quel métier faites-vous ?
I be na sogo dɔ ta tuguni wa?,Tu reprendras de la viande ?
A bi sufri kalivisi la.,Il souffre de calvitie.
I b'a famuna sisan wa?,"Tu comprends, maintenant?"
Papiliɔn deni,Un tout petit petit papillon.
Marcof tun ye a lamagalamagali la lɔ,Marcof les calma du geste.
Kitabuw do?,Où sont les livres ?
N bo le natala,"En tout cas, je le souhaite."
N be na feen fila jatiminɛ,Je ferai deux remarques.
U lɔn ka tɛmɛ,Ils sont extrèmement connus.
Kititigɛbagaw tɔw tun kɛrɛnkɛrɛnla mɔgɔw bolo,Les autres juges étaient élus.
A daminnɛ ma ɲɛ,Cela commence mal
Aa ni teri ni ye teri ɲuman le ye dɛ!,Mais cet ami est sacré.
A ka KO dɔ fɔ,Il a dit quelque chose ?
Sizo be n boro,J’ai une paire de ciseaux.
An ga mɔgɔw bila makɔnɔlila,On fait attendre les gens.
Nɔnɔ litri demi,un demi litre de lait
A ɲana kɔsɔbɛ,C’est assez bon.
A be donna Pari djamanana foyi t'a bolo.,"Ruiné, il rentre à Paris."
Den joli le ?,Combien d'enfants ?
N yala a be angilɛ kan fɔ wa?,Vous parlez anglais ?
Koo ɲafu ɲafu.,N’importe quoi !
Musuw ko ma d'an ye le tuguni wa,Il n’aime donc pas sa femme ?
An tun bi tagala,nous étions en train d'aller.
Fugulan b'o kelen kelen bɛ kun na,Ils ont chacun un chapeau.
A cɛjuguni filɛ!,Qu’est-ce que c’est mauvais !
Kulɛri juman le?,De quelle couleur il est ?
"Mariamou, musu mi n'a ma cɛ don",La Vierge Marie.
Bonni bi na diya i ye dɛ.,Cette maison te plaira.
O lugu o k'a kanu,"elles, elles ont aimé."
I lanibala ko i bi n'a kanou wa ?,tu es sûr que tu aimeras.
Anw be bara kɛ min?,Où travaillez-vous ?
N te fɛ ka taga.,je ne veux pas partir.
A tagara.,elle est partie.
Yal'a ka dumini kɛ ɲɔgɔn fɛ wa,Vous avez mangé ensemble ?
Aw ka lɔn cogo juman?,Comment le savez-vous ?
Jɔn ka tur lo ka tulon kɛ?,C'est à qui de jouer ?
A sigila tuguni o kɔfɛ a ye a bolo filaw minɛ ɲongonma,"Il se rassit, croisa les bras."
I lanibala k'a tun diara i ye wa?,tu es sûr que tu aimas.
An bi se ka an hakili sigi,Nous y serons attentifs.
Barakɛyɔrɔ le.,C'est un centre industriel.
Denmisɛnw aw ye na dumuni kɛ.,"Les enfants, venez manger."
O b'a tanuna.,Ils la complimentaient.
A be bɔ kini fɛ.,Il sort par la droite.
A be sɔgɔsɔgɔla tuguni.,Il toussa encore.
Kungolola ani dusukunna.,Dans la tête et le cœur.
Aw ye ɲamɔgɔ boɲɛ.,Respectez le ministre
Nin bɛgɛnkolon lo ye.,Quel stupide animal !
An ti na kuma foyi fɔ ni koni na tugun.,Pas un mo sur ça.
Sama den naani.,Quatre éléphants.
N k'o ka ciikan sɔrɔ sɔgɔma.,J'ai reçu leur offre ce matin.
I ba laban la tile biduuru,Tu le traites quinze jours…
Ole cɔ n baw barikadala.,"C’est exact, je vous remercie."
A ye don a ye sigi.,"Entrez, asseyez-vous."
Ni bɛ ye sigɛni ko le ye o.,Tout cela est aléatoire.
O ma sɔn a la.,Il a été refusé.
An be jigɛw minɛ ni jɔrɔkɔw ye.,Nous pêchions avec des filets.
A min tiena fo ka tɛmɛ,Le plus rouillé.
Sama binaani ni naani,Quarante-quatre éléphants.
N tɔgɔ ye John Smith,Je m’appelle John Smith.
Nin ma deri ka kɛ,Cela n’a jamais vu le jour.
Baba grelys denmuso,La fille au père Greluche !
Ka na to ki' kun kɛ ni togoya ni na,Cesse de faire la tête !
N dalebala k'a ba kanu,je suis sûr qu'on aime.
Mu le kɛra?,Qu’est-ce qui s’est passé ?
O ya,Leur.
Wagati kunkuruni di n man,Accordez-moi un petit moment.
A ma ben a ye a kan kɔrɔta n'a ye,Pas possible ! s'écria-t-elle.
A keleen tɛ,Ce n’est pas la seule.
A ye jigini sɔrɔ wagati la,Il a obtenu une prolongation.
I muso teyi tuguni le wa,Votre femme n’est plus là ?
Ne bi aw Kɔnɔna,"Moi, je vous attends."
Badenmuso fila le bi n bolo.,J'ai deux sœurs.
A n kɛra sɔrɔbagaw cɛ !,"Eh bien, j’ai gagné !…"
A ɲadenw fanin be kasi la.,Elle fondit en pleurs.
Isa ma sɔn ko mɔgɔ wɛrɛ ye jalaki.,Jésus défend d'accuser autrui.
I lanibala k'a diara anw ye wa ?,tu es sûr que nous aimions.
A ye finɛtri kari.,Il a brisé la fenêtre.
Gari bi yɔrɔ juman le?,Où est la gare routière ?
Ji te anw fɛ.,On manque d’eau.
Wa i k'o nɛni.,Et tu les as insultés.
A be sɛbɛnan Ɛl la.,Mais dans l’article L.
A cɛɲani no kosɔbɛ,Elle est richement dotée.
I lanibala ko a diala i ye wa,tu es sûr qu'ils aimaient.
Ji kaɲi ka bɔn fɛrɛla feenw la,Il faut arroser ces plantes.
A ye Nin kitabu ni faa sɛbɛra,Remplissez ce formulaire.
A ba yɛrɛ sɔrɔla kɔsɔbɛ,Il s'en tire bien.
N'a tun ka jigɛ ɲini jira,Si elle pêchait.
A bi na da ɲɛlɛ wagati juma,Quand ouvrez-vous la porte ?
Ni o lo n bi na n lafiɛn bi,Annule. Je prends ma journée.
A bi lamɛnikɛ o kɔ fɛ a bi la batoni kɛ,Il écoute et il obéit.
A ko dira n ye Kosɔbɛ,Elle me plaît bien à moi.
I lanibala ko a bi na kanu wa?,Tu es sûr qu’elle aimera.
A ka a yɛrɛ bɔ a ra,Il s’est retiré.
A bi na bɛɛn wa,C'est possible ?
I ka lynɛti,ta paire de lunettes.
Sisan n ga tanti do,"Alors, où est ma tante ?"
Yala aw bi ka angilɛ kan fɔ wa,Vous apprenez l’anglais ?
Tlera bi tagara wagati juma ?,À quelle heure le déjeuner ?
Kilomɛtri kelen sira la,Un kilomètre de route.
Kunu n tun be jigɛ ɲinina,Hier je pêchais.
I ko di ni n ye gilasi dɔ san?,Et si on s’achetait une glace?
Mu le b'a Kɔnɔ?,Qu'est-ce qu'il y a dedans ?
Yala aw ka mɛ wa?,Vous avez entendu ?
A tun ma lamɛnikɛ,Ils ne l'avaient pas écouté.
Wagati joli tuguni ?,Combien de temps encore ?
N tun bo filɛla ni filɛli ye,Je jetai un regard sur eux.
A ye taga ka bɔ yan,allez-vous en d'ici.
A tun ti na furu kɛ abada,Il ne se serait jamais marié.
A bi na yɛrɛ yila cogo juma?,Comment se présenter ?
Nafolo ti n bolo,Je n'ai pas d'argent sur moi.
Boon fenɛtri,La fenêtre de la maison.
I lanibara ka fɔ ko an kadi ɲɔngɔn ye,Tu es sûr que nous aimions.
A ba tɔ kunu na,Il avale le reste de la tasse.
Nɔnɔ mi kaɲi,C'est bon de manger du lait.
A tun be mi?,Où avez-vous été ?
A tɛmɛna yan le fɛ,elles est passée par là.
I ni ce adama deen ya la,Merci en toute humilité.
N ti na se ka n yɛrɛ sɔrɔ tuguni,Je ne m'en relèverais pas.
An bi angilɛ kan fɔ,Parlons anglais.
Ji be yi,Il y a de l’eau ?
Markof bi a lakɔrɔsila,Marcof remarqua le mouvement.
An ye a filɛ ka na dimi,"Voyons, ne te fâche pas…"
An be a degila a ni ka falen,Échange et formation.
Lɛtri mugan ni kelen,vingt et une lettres.
Sama mugan ni kelen,quarante et un éléphants.
N tinana foyi fɔ,je ne dirai rien.
N ka sumani kɛlan di a ma,Je vous ai donné la balance ?
Ni wagati tun bi n bolo,Si j’avais le temps.
Ni le bina a boli.,C’est lui qui conduira.
I bi ni a ka ladialali fɛn di mɔgɔ juma le ma,A qui donneras-tu ton cadeau ?
Cogo di e ka cɛ ni don,"Comment, tu connais monsieur ?"
A be na to n'an ye.,Il demeurera parmi nous.
Sama saba,trois éléphants.
Nɔnɔ litri demi,"vous, vous êtes aimé."
I ma denmuso diana ye,Il aime ta sœur.
I tɔgɔ be mu le ye,Comment t’appelles-tu ?
N be sira kaliforni.,J’habite en Californie.
I lanibala ko i bi n'a kanou wa ?,tu es sûr que tu aimes.
A be na se wagati juma?,À quelle heure arrive-t-il ?
I ni ce jatigiɲumaya la.,Merci de me recevoir.
Nin ti anw ka sii da bara ye,Ce n’est plus de mon âge.
A be na mɔgɔw wele,Il va inviter les gens.
Furucɛ nata ka jamu ani a tɔgɔ.,Prénoms et nom du futur époux.
A bɔra ɛndu jamana na,Elle est originaire de l'Inde.
Ji te yi,Il n'y a pas d'eau ?
Aw yi dɛrɛmɛ misɛniw ta?,Gardez la monnaie.
I ko di sinema ko ra,ça te dirait un cinéma?
Faligan bi n na. N ta tansiɔn Yɛlɛla fo binani,J'ai quarante de fièvre.
Sɛbɛ fɛn kelen be n bolo ni kitabu fila,J'ai un crayon et deux livres.
Bigɛn kolɔn juma le yi ni ye,Quel stupide animal !
An ma lara tumabɛ,On peut toujours douter.
Onhon an sɔn na bagɛ marala le,"Oui, répondit le fermier."
A ka da yɛlɛ,Vous avez ouvert la porte ?
Kumakan fɔlɔ a ni kumakan laban,Du premier au dernier mot.
N nisɔndiyara kɔsɔbɛ.,Je suis très satisfait.
A tɛmɛna nin yɔrɔ ni na,Elle est passée par là.
Tabali finman fila,deux tables noires.
A be kulela hali a ma wili.,Cria-t-elle sans se lever.
A be tlon kɛ la.,Elle est en train de jouer.
Nne mako !,Moi ?… je m’en fiche !…
N miriya la a kaɲi kɔsɔbɛ.,"C’est très bien, je pense."
Wulu den bisaba ni kelen.,trente et un chiens.
N ka n bolo ko.,Je me suis lavé les mains.
ɲinigali fɔlɔ,La question principale.
A ka mɔgɔ caman wele.,Il a invité beaucoup de monde.
Hakilila ɲanaman ti ye,(Sourires.) Avis défavorable.
Kangalida ma labɔli kɛ,La prévention n’a pas suffi.
Aa i bé ka jati minɛ juma le kɛ,Ah ! et dans quel but ?
Na ni fila ye walima saaba,apporte en deux ou trois.
Mɔgɔ si tun ti se ka ɲafɔ,Personne ne pouvait le dire.
Nn ta don ɲanaman,Je ne sais pas bien.
Sisan n be k'a ye.,Maintenant je le vois.
Cɛ simit ye amɛrikɛn de ye,Monsieur Smith est américain ?
Ne delila ka' kanu,"moi, j'ai été aimé."
Ayiwa a bi kan ka mɛ lon kɔnɔtɔn la,Alors ça dure neuf jours !
Nɛgɛguru tan le be yi,Il est dix heures.
A ka juma le jabi?,Qu’a-t-il répondu ?
I da le do a la ka bi na diya o ye wa ?,tu es sûr qu'elles aimeront.
Kɔni sanji te ka na?,Est-ce qu'il ne pleut pas ?
A be ka kuma ni kan misɛn ni ye,Elle parle d'une voix aigüe.
Jurumu kɛla fariman dɔ,Un redoutable pêcheur.
N ye bolo ɲuman tigi de ye,Je suis droitière.
Malo caman be n bolo,J'ai beaucoup de riz.
A a kungolo dimi wilila n na,Ah ! j’en ai mal à la tête !
Saan fɔlɔ,Le premier de l'an.
A tɔrɔla sifi la,Il a souffert de la syphilis.
An ni ce a ka jabilila,merci de votre réponse.
Nin tulon kɛ fɛn ɲɔgɔn dɔ be n bolo du kɔnɔ,J'ai le même jeu à la maison.
Denmisɛnuw mara yɔrɔ,Une garderie d’enfants.
I ni ce cɛ Dolɛz.,"Merci, monsieur Dolez."
A man kɛnɛ dɛ.,Il ne va pas très bien.
Kɔni n ka lɔn? Nne?,"Est-ce que je sais, moi ?"
N balima ka kan ka l'on wa?,Mon frère doit le savoir.
F'la wal'ma saaba,deux ou trois fois.
A dun ka mara,Elle avait cotisé
Tiɲɛ fo si tala,Ce n’est pas vrai
Nn tericɛ amɛrikɛn le be,Mon ami est américain.
A be borila,Il est en train de courir ?
Wɔru ni tun be yi a ka marayɔrɔla,le chien était dans sa niche.
Bon mugan ni duuru,Vingt-cinq maisons.
"A tun ba fɔla ɔn ɔn, wagati bɛ la ɔn ɔn","Elle disait non, toujours non."
A tagatɔ bɛ filɛ sisan sisan,Il vient juste de partir.
A filɛ nin ye n ka fɔ wo.,"Voilà, je l’ai dit!"
Tulo fitini fila,Deux petites oreilles.
Bii walama sini,Aujourd’hui ou demain.
A be angilɛ kan degila wa,Vous apprenez l'anglais ?
Karlɔsi tun be dɔnkili lara ka ɲɛn.,Carlos chantait bien.
A te foyi kɛ.,Ca ne fait rien…
Konimuw kaɲi,Des choses très importantes.
A bi tabali bugɔ la.,Il frappe sur la table.
Kana dumuni kɛ caman.,Ne mangez pas trop.
T'i ka vɛɛsi fitini nin dó,Va mettre ta petite veste.
Nne nana misi kanma.,Tu viens pour la vache ?
Jon ne b'o ye,Qui sont-elles ?
Sisan an be jurumukɛra,maintenant nous pêchons.
N taa le bɛ,C’est la sienne.
I bi na mu ne kɛ,Qu’est-ce que vous ferez ?
I ɲaa munu i kinibolo fɛ,Tournez à gauche.
Sariya bɛn kan,C’est un choix politique.
O ka tɔgɔ la ko hasan,Il est nommé d'après Hassan.
Uhon i bi se ka na ni a ye,Oui tu peux envoyer.
Den laban a ni den filanan o b'e ɲagamuna nn ma,"Cadet, benjamin, je m'y perds."
Cɛw n ka hakililata filɛ nin ye.,"Voilà mon avis, Messieurs!"
Fen kelen le te yi,Ce n’est pas la même chose…
Kumakan keleen nin do,C’est le même propos.
Kuma dɔwɛrɛ ti n bolo.,Je n’ai pas d’autre argument.
Fanga ɲamɔgɔ ga jumɛ?,Le Commissaire Mais encore ?…
Maa lankoloń ti song'a yɛrɛ yira,Le lâche n'ose pas se montrer.
Yɔrɔ be mi,Où est la poste ?
A te mɔgɔ sigɛn,Ce n’est pas fatigant !
Tiɲɛ tɛ,Ce n’est pas vrai
Waafila ni biseegi ni wɔrɔ,deux cent quatre-vingt-six.
Ɔtɔbru kalo tile mugan ni fila.,Vingt-deux octobre.
A bi na diya n ye n dale do a la,je suis sûr que j'aimerais.
Ayi n be bara bila,"Non, je donne ma démission !"
Tan ni seegina,Le dix-huitième.
A tora kɔgɔ jira,Il s’est noyé en mer.
A cogo ya jati minɛ,Son attitude s'en ressent.
Jyl melin sira saaba,trois chemin Jules Méline
Muso nunu bi se ka dɔ bɔ o yɛrɛ la.,Elles sont au régime.
Sama den mugan ni fila.,Vingt-deux éléphants noirs.
A nisɔn mandi kana maga a la.,"Touche pas à ça, malheureux!"
Nne ka bara kɛ.,J'ai à travailler.
Mɔnikɛbato.,Le bâteau de pêche.
A datugula dimansi lon.,C’est fermé le dimanche.
N ka kan ka kɔnɔ.,Je dois attendre ?
Jɛnɲɔgɔn fila sara ka to den t'o bolo.,Le couple meurt sans enfant.
Sanga ba de bi Zapon.,C'est un gros succès au Japon.
Ji beyi wa?,Il y a de l’eau ?
An bi mɔgɔ hakɛ joli,Combien serons-nous ?
Sukaro bara f'la bi'n bolo,J'ai deux paquets de sucre.
O tun nana siginan t'o bolo.,Ils étaient venus sans chaise
An b'i balimamuso fɛ.,Nous aimerions ta sœur.
Ayi ayi foyi tɛ sa.,"Non, non, rien de tout ça."
Annu te soli ka wili.,Nous nous levons tard…
Juman lo diyara aw ye ?,Lesquels vous plaisent ?
A nana mɔnbilila,Il est venu en bus.
Kɔngɔ bi n na,Rue du Mont Rôti à Preures
Ne bi fèga ta so,"Rue Fegui, Limours"
N fakɛ ka sisɛ.,Rue du Puits Drouet à Chartres
n baw fora a ka kɛwalen ɲumana,Les gourmettes cliquetèrent.
N bi na ji min,"Or, tant l’article L."
Ayiwa an bi ka taga ni bara ye ɲafɛ,Cours du Berteuil à Valréas
Fali Nin minɛ kaɲɛ dɛ,"Rue de la Philipotière, Laval"
n bi ta ekɔl ra,"Allée du Cerisier, Échillais"
N be sinɔgɔra.,Clos du Ratz à Arradon
ka da kan bara ni di y'a n ye kɔsɔbɛ,El Maestre – Cronobiografía.
Kuma kɔnɔnmanw,treize square François Boucher
Sisɛ ye,"En effet, la réserve parlementaire est un pouvoir discrétionnaire et un saupoudrage."
N bɔra balon ziue yɔrɔ la n naana sifi n sigɛnino,deux rue Forfert
N'ala sɔn na sanji bina na bi.,Le a un dessin d'aile radical.
I tun ko di ?,"Rue Eugène Le Thiec, Ploemeur"
Ni ele ma bɔ ne kɔrɔ nne bina i bugɔ kwa i bi tunu.,De la Cornouaille au Goëlo.
N bi ta dugu kɔnɔ,"Un pensum, au marquis !…"
Kɔgɔ bi n na,Phototypie par A.
Fintɛni beyi bi,=Angèle.= Drame en cinq actes.
I bɔra min?,Aujourd'hui la Grande Bretèche abrite les sœurs dominicaines de la Présentation de Tours.
An ni wula.,"Sous l'Ancien régime, Estrennes dépend du bailliage de Mirecourt."
An bina doumouni kè,Peste soit du farceur!
An ma bara kè bi,Madame Gaudin Oui ! je sais …
Kalo sara ka ban,"Square de la Mettrie, Rennes"
Mina ta lou konon,"Square Dous Casous, Messanges"
Ala ka bara ko nongonya,C'est une excitotoxine.
N bi na taga lɔgɔra ka ta fɛn dɔw san,"Impasse du Stade, Périgny"
Mi tara sini,Des révérences ironiques s'échangeaient sur les marches de grès.
An bi na ɲigi ka togata,Au plus on sera mouillé.
A farini lo kojugu.,C'est trop stylé.
a sara Nin sans kelen ni na,Il mourut la même année.
a ma kɛ kunadia ye n ma,Malheureusement pour moi.
Kartɔr yi an ɲagami.,Carfor nous aura trompés.
a fas ni lo,Souple et tenace
Nin ko ni gɛlɛyara aw bolo,ça vous a coûté cher.
irbɛn ma son a tara,Urbain posa des objections.
tuma jumalo n bi 'a se ka i ye,Et quand te verrai-je ?
a gɛlɛya ra a ma,Ça lui a coûté cher.
Nin tuma nin kadi,Le temps est beau.
A kɛra bryksel,Elle est établie à Bruxelles.
Rɛsto bɔra a bɛ kalama.,Restaud a tout su.
Dɛmisɛnkɔrɔsila.,Une gardienne d’enfants.
Muso! Lon bɛ.,Dame !… tous les jours.
A yɛnna n b'a famu na.,Bien ! je le vois…
A ba ɲɛ ni tɔni saba ye,Trois point d'avance.
Ka toi nin ye gwansan ne ye,Mais il est moins important.
Konstantɛn gyi yɔrɔla,À Constantin Guys.
ɔnɔninw ka,huit route des Oiseaux
A wolola bɛrlɛn,Rosa Valetti naît à Berlin.
A ti foyi dian,Il ne me donne jamais rien.
Sɔgɔma nɛgɛ kaɲan fɔlɔ,Une heure du matin.
Bɛnɛ a ni bɛgɛn balo,Agriculture et élevage.
Aa nne ta lowa?,Ah ! c’est à moi ?…
A di wɛ n ɲafɔ,"Donne, alors ! je lirai."
Aw yi mɔgɔ filanan ne ye,vous êtes second.
O ka mara duguba ye Tukani ye.,Son chef-lieu est Tucaní.
Tasa kelen fara a kan,Tu mettras un couvert de plus.
"N'a le tɛ, a bi na sɔn","À défaut, avis défavorable."
A tericɛ bi lɔndr,Votre ami est à Londres ?
N yi fangan sɔrɔ tuguni,Tu as encore eu une promo?
N mi dumunikɛ cogo kɔrɔsi n na,Je suis au régime.
Ka sɔrɔ a ba yɛrɛkɛra lanaya mɔgɔye,Donc il se jugeait sincère.
Kasɔrɔ koɲa nin bi na ɲagami tugu,Mais cela avorta aussi.
Nin fɛn ni lo b'a ka kow bɛɛ ɲafɛ,C'est le souverain but!
n'o tɛ ne sago tɛ,"Sinon, j’y suis défavorable."
an ban bolo nɔn Di,Nous avons même voté contre.
O o tumana fo an ka kɔ segi,Il faudra retourner.
fla fere bon bi min,Où est la pharmacie ?
A ka lemurukumu sɔngɔ ka ca.,Ils sont chers vos citrons.
Dumunikɛyɔrɔ dɔ bi gɛrɛfɛyɔrɔ nin na.,Il y a un restaurant pas loin.
Kokɛtaw sanfɛ.,Au-delà du possible
A bi famaya ra a san kɔnɔntɔnnan le ye.,Il règne pendant neuf ans.
A wolona Sarsbɔrg .,Il est né à Sarpsborg.
O bina ɲɔgɔn sɔrɔ Euya .,Elle se rencontre sur ʻEua.
Wali bi kanwɛrɛ mɛn na.,Wally entend une autre voix.
"Mɔgɔya ra, Otavio y'a fɔ.","Par humanité, dit Ottavio."
O y'ow ka marifaw son,Ils empoignèrent leurs fusils.
kogo min anw y'a yɛrɛ sɔrɔ ka sala,Le bois où nous avions été nous promener.
dɛnmisɛn ɲuma,les bons petits enfants.
lanaya ma di min bi nana kuma nin ɲafɔ ma,Le rapporteur est désavoué
fari fini ye siniɲasigi ye,Le eSport c'est l'avenir!
Nin suguru ɲuman ni tun nagasira,La jeune femme avait pâli.
ale nin tara,Tu n’es pas à la course…
n kaɲi ka se,il faut que j'y arrive.
fɔlɔra i ye jurumu kow kɛ,autrefois tu pêchas.
o bi baden muso fɛ,on aime ta sœur.
dɔ kaɲi ka bɔ kalan karamɔgɔ la wa,Faut-il moins d’enseignants?
na Sisan sisan,viens immédiatement.
garbon bi fɔɲɔn sama n'a,Cavrois reniflait l'air.
an bi diɲɛ min na nin ti famu dɛ,On vit dans un drôle de monde.
nunu y'i ka mɔgɔw le ye,Ce sont des parents à toi ?
"San ni dɔni, a bina ta k'o toyi.",Bientôt il les quitta.
a kɛra ko ba ye,Une grosse partie est engagée.
Nin dumunikɛyɔrɔ nin la nɔgɔ.,Ce restaurant n'est pas cher.
N ka dencɛ ni ne yɛrɛ an bina ko bɛɛ kɛ.,"Mon fils et moi, nous sommes prêts à tout."
a janya ye juma ye,Quel est votre taille ?
a yi Jon le ye,Qu'est-ce qu'il est ?
muso la mɔgɔ min jaabka gɛlɛn o bɛ cɛma,La plus courageuse.
